Row Id,Territory ID,Year,X,Y,CLC2012,Pop_den,HFP,Dist_settl,Dist_roads
40,DZ,2012,4660402.423,3159609.39,104.1475516,16.82813821,8.694108874,492.0289833,929.7398459
49,LUE,2012,4399576.669,3352736.836,103.6152507,32.53730601,7.448865897,470.9078293,282.6961301
58,UEM,2012,4595225.318,3398527.318,104.3098494,48.51921643,7.795256799,860.9264158,795.5837021
69,DN,2012,4642379.666,3142821.674,103.7958615,36.19811978,11.26293275,409.8513231,406.3077
77,MI,2012,4630039.296,3155101.024,104.8840032,28.94130521,11.43220255,276.1928472,667.0800836
88,KRH,2012,4500434.303,3338107.539,104.2700995,11.51721393,6.343432836,506.4330348,840.8493532
94,SL,2012,4615931.548,3161729.308,104.1570548,260.4926917,19.65108879,158.3064532,265.3756587
101,WE,2012,4611075.566,3176051.282,103.9234328,63.80920398,17.82661692,149.5599005,470.5585075
105,AG,2012,4473473.391,3229545.125,103.9200199,12.57169858,9.212136285,394.2913206,459.8365083
112,JW,2012,4529444.986,3222361.279,103.6960394,71.0031844,14.27410688,283.5873719,527.4167579
115,LE,2012,4506734.556,3240351.165,103.8153586,40.6775494,10.11884736,404.01936,424.5561638
121,LB,2012,4614354.699,3210187.227,104.0023871,17.82837677,8.764919435,315.7007161,633.9171971
127,KH,2012,4591906.602,3143146.831,103.8472174,41.1597951,12.04058288,329.1535784,223.737952
133,SP,2012,4631541.134,3169241.713,103.4239514,99.22926514,14.92158814,114.2376238,481.2887706
139,AH,2012,4534779.343,3181598.282,103.5705052,34.56647772,12.26993835,404.5117343,453.8239857
144,SE,2012,4596914.33,3189734.786,103.4621009,85.58102059,16.96811897,140.8154282,313.0823137
148,MU,2012,4329660.624,3325343.777,103.9665688,82.14123675,10.72717775,368.2269041,386.0910402
153,NY,2012,4658037.592,3146401.383,103.5065168,93.05442245,15.52362949,402.067456,411.1260571
158,SPJ,2012,4546334.476,3229779.27,103.5141493,37.57969861,12.78007659,292.8466206,491.5971055
162,MI II,2012,4626915.353,3160697.875,104.6131663,44.41537391,14.2117144,227.2560163,680.3688345
163,BE,2012,4307169.522,3301196.863,104.5706754,12.16830797,9.473838655,358.4431016,489.9685169
166,GKL,2012,4491407.72,3214894.351,103.583992,15.16649267,9.146109868,515.046781,648.4724832
169,GA,2012,4420630.053,3319320.144,103.6151283,16.13676149,6.690073603,321.8430475,579.8699025
170,CLH,2012,4426701.805,3266131.754,104.3704735,26.34674692,10.85918225,359.6422602,508.6656884
175,CUX,2012,4253580.8,3393759.019,103.9944787,28.81327099,8.170961003,270.2635296,473.0026363
178,BA,2012,4583612.336,3181901.746,103.5276424,33.68424978,13.34279606,233.7185542,371.9133439
181,TL,2012,4634725.432,3193836.837,104.2346066,114.0983786,18.3992838,223.0337213,568.5659007
